class_id	parent_class_id	pref_name	class_level	protein_class_desc
0		Protein class	0	protein class
1	0.0	Enzyme	1	enzyme
2	0.0	Adhesion	1	adhesion
3	0.0	Secreted protein	1	secreted
4	0.0	Structural protein	1	structural
5	0.0	Other nuclear protein	1	nuclear other
6	1.0	Kinase	2	enzyme  kinase
7	0.0	Other membrane protein	1	membrane other
8	0.0	Other cytosolic protein	1	cytosolic other
9	0.0	Surface antigen	1	surface antigen
10	1.0	Oxidoreductase	2	enzyme  reductase
11	0.0	Membrane receptor	1	membrane receptor
12	0.0	Transcription factor	1	transcription factor
13	1031.0	Cytochrome P450 CAM family	3	enzyme  cytochrome p450  cyp_cam
14	1136.0	Serine protease S6 family	5	enzyme  protease  serine  pas  s6
15	1119.0	Serine protease S8A subfamily	5	enzyme  protease  serine  sb  s8a
16	1119.0	Serine protease S8B subfamily	5	enzyme  protease  serine  sb  s8b
18	1120.0	Serine protease S10 family	5	enzyme  protease  serine  sc  s10
19	1120.0	Serine protease S28 family	5	enzyme  protease  serine  sc  s28
20	1120.0	Serine protease S33 family	5	enzyme  protease  serine  sc  s33
21	1120.0	Serine protease S9A subfamily	5	enzyme  protease  serine  sc  s9a
22	1120.0	Serine protease S9B subfamily	5	enzyme  protease  serine  sc  s9b
23	1121.0	Serine protease S11 family	5	enzyme  protease  serine  se  s11
24	1121.0	Serine protease S12 family	5	enzyme  protease  serine  se  s12
25	1121.0	Serine protease S13 family	5	enzyme  protease  serine  se  s13
27	1123.0	Serine protease S21 family	5	enzyme  protease  serine  sh  s21
28	1110.0	Cysteine protease C2 family	5	enzyme  protease  cysteine  ca  c2
29	1130.0	Metallo protease M49 family	5	enzyme  protease  metallo  mae  m49
30	1113.0	Metallo protease M79 family	5	enzyme  protease  metallo  m-  m79
31	1130.0	Metallo protease M1 family	5	enzyme  protease  metallo  mae  m1
33	1130.0	Metallo protease M2 family	5	enzyme  protease  metallo  mae  m2
34	1130.0	Metallo protease M4 family	5	enzyme  protease  metallo  mae  m4
35	1115.0	Metallo protease M17 family	5	enzyme  protease  metallo  mf  m17
36	1117.0	Metallo protease M18 family	5	enzyme  protease  metallo  mh  m18
37	1118.0	Metallo protease M19 family	5	enzyme  protease  metallo  mj  m19
38	1136.0	Serine protease S1A subfamily	5	enzyme  protease  serine  pas  s1a
40	1136.0	Serine protease S1B subfamily	5	enzyme  protease  serine  pas  s1b
41	1136.0	Serine protease S29 family	5	enzyme  protease  serine  pas  s29
43	1122.0	Serine protease S26A subfamily	5	enzyme  protease  serine  sf  s26a
44	1124.0	Serine protease S60 family	5	enzyme  protease  serine  sr  s60
45	1125.0	Protease unclassified U48 family	5	enzyme  protease  unknown  u-  u48
47	1106.0	Aspartic protease A1A subfamily	5	enzyme  protease  aspartic  aa  a1a
48	1106.0	Aspartic protease A2A subfamily	5	enzyme  protease  aspartic  aa  a2a
49	1109.0	Cysteine protease C18 family	5	enzyme  protease  cysteine  cm  c18
50	1110.0	Cysteine protease C1A family	5	enzyme  protease  cysteine  ca  c1a
51	1110.0	Cysteine protease C2A subfamily	5	enzyme  protease  cysteine  ca  c2a
52	1111.0	Cysteine protease C13 family	5	enzyme  protease  cysteine  cd  c13
53	1111.0	Cysteine protease C14 family	5	enzyme  protease  cysteine  cd  c14
54	1111.0	Cysteine protease C25 family	5	enzyme  protease  cysteine  cd  c25
55	1130.0	Metallo protease M13 family	5	enzyme  protease  metallo  mae  m13
57	1130.0	Metallo protease M27 family	5	enzyme  protease  metallo  mae  m27
59	1117.0	Metallo protease M28 family	5	enzyme  protease  metallo  mh  m28
60	1130.0	Metallo protease M34 family	5	enzyme  protease  metallo  mae  m34
61	1130.0	Metallo protease M9B subfamily	5	enzyme  protease  metallo  mae  m9b
62	1114.0	Metallo protease M14A subfamily	5	enzyme  protease  metallo  mc  m14a
63	1114.0	Metallo protease M14B subfamily	5	enzyme  protease  metallo  mc  m14b
65	1116.0	Metallo protease M24A subfamily	5	enzyme  protease  metallo  mg  m24a
66	1116.0	Metallo protease M24B subfamily	5	enzyme  protease  metallo  mg  m24b
67	1117.0	Metallo protease M20A subfamily	5	enzyme  protease  metallo  mh  m20a
68	59.0	Metallo protease M28A subfamily	6	enzyme  protease  metallo  mh  m28  m28a
69	59.0	Metallo protease M28B subfamily	6	enzyme  protease  metallo  mh  m28  m28b
71	1107.0	Aspartic protease A22A subfamily	5	enzyme  protease  aspartic  ad  a22a
72	1108.0	Aspartic protease A26 family	5	enzyme  protease  aspartic  af  a26
73	1110.0	Cysteine protease C12 family	5	enzyme  protease  cysteine  ca  c12
74	1110.0	Cysteine protease C19 family	5	enzyme  protease  cysteine  ca  c19
76	1111.0	Cysteine protease C11 family	5	enzyme  protease  cysteine  cd  c11
77	53.0	Cysteine protease C14A subfamily	6	enzyme  protease  cysteine  cd  c14  c14a
78	1135.0	Cysteine protease C3A subfamily	5	enzyme  protease  cysteine  pac  c3a
79	1138.0	Cysteine protease C26 family	5	enzyme  protease  cysteine  pcc  c26
80	1112.0	Protease inhibitor I49 family	5	enzyme  protease  inhibitor  i-  i49
81	1130.0	Metallo protease M48A subfamily	5	enzyme  protease  metallo  mae  m48a
82	1131.0	Metallo protease M10A subfamily	5	enzyme  protease  metallo  mam  m10a
83	1131.0	Metallo protease M12A subfamily	5	enzyme  protease  metallo  mam  m12a
84	1131.0	Metallo protease M12B subfamily	5	enzyme  protease  metallo  mam  m12b
87	1137.0	Threonine protease T2 family	5	enzyme  protease  threonine  pbt  t2
89	1137.0	Threonine protease T1A subfamily	5	enzyme  protease  threonine  pbt  t1a
90	1079.0	Serine protease unclassified	4	enzyme  protease  serine  unclassified
92	28.0	Cysteine protease C2 regulatory subfamily	6	enzyme  protease  cysteine  ca  c2  reg
93	41.0	Serine protease S29 regulatory subfamily	6	enzyme  protease  serine  pas  s29  reg
94	1061.0	Phosphodiesterase 1A	4	enzyme  phosphodiesterase  pde_1  pde_1a
